id,name,price,original_price,rating_average,review_count,author,category_path,quantity_sold,inventory_status,specifications
277728224,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ",122800,127000,4.8,417,Trương Tiếu Hằng,Sách tiếng Việt > Sách kỹ năng sống > Sách kỹ năng mềm > Kỹ Năng Giao Tiếp,8666,available,"Phiên bản sách: Phiên bản thường | Công ty phát hành: 1980 Books | Ngày xuất bản: 2022-12-12 00:00:00 | Kích thước: 13x20,5cm | Dịch Giả: Trần Ngọc Lâm | Loại bìa: Bìa mềm | Số trang: 450 | Nhà xuất bản: Nhà Xuất Bản Thanh Niên"
277412034,Sách Song Ngữ Lời Thì Thầm Trong Tổ Ấm - Whispers In The Home - Chính Hãng + Mã File Nghe,180000,180000,5,22,,Sách tiếng Việt > Sách Học Ngoại Ngữ > Sách Học Tiếng Anh > Sách học tiếng anh - khác,699,available,Công ty phát hành: NXB Lao Động | Ngày xuất bản: 2025-02-19 00:41:13 | Loại bìa: Bìa cứng | Số trang: 280 | Nhà xuất bản: Nhà Xuất Bản Lao Động
277409853,Bí Ẩn Thảm Án Ở Styles (Agatha Christie) (NXB Trẻ),97600,122000,5,4,  Agatha Christie,Sách tiếng Việt > Sách văn học > Truyện trinh thám,86,available,Công ty phát hành: NXB Trẻ | Loại bìa: Bìa mềm | Số trang: 296 | Nhà xuất bản: NXB Trẻ
277381902,Tiếng gọi chân trời - Nguyễn Ngọc Tư,68000,95000,5,10,Nguyễn Ngọc Tư,Sách tiếng Việt > Sách văn học > Truyện ngắn - Tản văn - Tạp Văn > Truyện ngắn - Tản văn - Tạp Văn Việt Nam,348,available,Công ty phát hành: NXB Trẻ | Ngày xuất bản: 2025-03-04 00:00:00 | Loại bìa: Bìa mềm | Số trang: 152 | Nhà xuất bản: NXB Trẻ
276960030,Khi Mọi Điều Không Như Ý,80600,109000,5,25,Hae Min,Sách tiếng Việt > Sách kỹ năng sống > Sách tâm lý học > Sách tâm lý học - khác,729,available,Công ty phát hành: Nhã Nam | Ngày xuất bản: 2025-03-01 00:00:00 | Kích thước: 14 x 20.5 x 1.5 cm | Loại bìa: Bìa mềm | Số trang: 240 | Nhà xuất bản: Nhà Xuất Bản Thế Giới
276948798,"Lên Đỉnh Núi Mở Tiệm Bánh Mì - Triết lí Wazawaza: Những con người hạnh phúc, 2 loại bánh mì, và doanh thu thường niên 300 triệu Yên",99000,120000,4.8,32,Hirata Haruka,Sách tiếng Việt > Sách kinh tế > Bài học kinh doanh,1187,available,Công ty phát hành: Ecoblader | Ngày xuất bản: 2024-03-12 00:00:00 | Kích thước: 14.5 x 20.5 cm | Loại bìa: Bìa mềm | Số trang: 168 | Nhà xuất bản: Nhà Xuất Bản Kinh Tế TPHCM
276922095,Thế Hệ Lo Âu,139690,229000,5,17,Jonathan Haidt,Sách tiếng Việt > Sách kỹ năng sống > Sách tâm lý học > Sách tâm lý học - khác,499,available,Bookcare: Có | Công ty phát hành: 1980 Books | Ngày xuất bản: 2024-12-31 00:00:00 | Kích thước: 13 x 20.5 cm | Dịch Giả: Mokona | Loại bìa: Bìa mềm | Số trang: 439 | Nhà xuất bản: Nhà Xuất Bản Công Thương
276823777,Tại sao các quốc gia thất bại,258000,310000,4.8,22,Daron Acemoglu - James A. Robinson,Sách tiếng Việt > Sách kinh tế > Sách kinh tế học > Sách kinh tế học - khác,370,available,Bookcare: Có | Công ty phát hành: NXB Trẻ | Ngày xuất bản: 2024-11-25 00:00:00 | Kích thước: 15.5 x 23 | Loại bìa: Bìa mềm | Số trang: 616 | Nhà xuất bản: NXB Trẻ
276346703,Combo 4 cuốn: ChatGPT + ChatGPT thực chiến + AI 5.0 + AI Công cụ nâng cao hiệu suất,608000,716000,0,0,,Sách tiếng Việt > Sách kinh tế > Sách Marketing - Bán hàng ,1,available,Công ty phát hành: 1980 Books | Nhà xuất bản: Nhà Xuất Bản Dân Trí
276159943,NEXUS - Lược Sử Của Những Mạng Lưới Thông Tin Từ Thời Đại Đồ Đá Đến Trí Tuệ Nhân Tạo,227500,325000,5,145,Yuval Noah Harari,Sách tiếng Việt > Sách Lịch sử > Lịch Sử Thế Giới,2237,available,Bookcare: Có | Công ty phát hành: Alphabooks | Nhà xuất bản: Nhà Xuất Bản Thế Giới
275702538,Chat GPT Thực Chiến,104800,169000,4.7,125,Dịch Dương,Sách tiếng Việt > Sách kinh tế > Sách kỹ năng làm việc,2643,available,Bookcare: Có | Công ty phát hành: 1980 Books | Ngày xuất bản: 2024-07-01 00:00:00 | Kích thước: 13 x 20.5 cm | Dịch Giả: Huyền Trang | Loại bìa: Bìa mềm | Số trang: 263 | Nhà xuất bản: Nhà Xuất Bản Dân Trí
275406600,Dẫn Dắt Một Bầy Sói Hay Chăn Một Đàn Cừu,126700,195000,4.8,61,Tiffani Bova,"Sách tiếng Việt > Sách kinh tế > Sách quản trị, lãnh đạo",2111,available,"Bookcare: Có | Công ty phát hành: 1980 Books | Ngày xuất bản: 2024-06-01 00:00:00 | Kích thước: 13 x 20,5cm | Dịch Giả: Trương Anh Tuấn | Loại bìa: Bìa mềm | Số trang: 358 | Nhà xuất bản: Nhà Xuất Bản Dân Trí"
275243138,Rèn Luyện Tư Duy Phản Biện,86200,139000,4.8,4825,Albert Rutherford,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,30550,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: 1980 Books | Ngày xuất bản: 2019-12-01 00:00:00 | Kích thước: 13 x 19 cm | Dịch Giả: Nguyễn Ngọc Anh | Loại bìa: Bìa mềm | Số trang: 204 | Nhà xuất bản: Nhà Xuất Bản Phụ Nữ
274363543,Con Đường Chẳng Mấy Ai Đi,123000,165000,5,176,M. Scott Peck,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,3185,available,Bookcare: Có | Công ty phát hành: Công ty Cổ phần Văn hóa và Công nghệ Tuệ Tri | Ngày xuất bản: 2024-01-01 00:00:00 | Kích thước: 14.5x20.5cm | Dịch Giả: Lâm Đặng Cam Thảo &amp; Lê Hoàng Thạch | Loại bìa: Bìa mềm | Số trang: 344 | Nhà xuất bản: Nhà Xuất Bản Dân Trí
273819808,Tâm Lý Học Về Tiền,117180,189000,4.8,3683,Morgan Housel,Sách tiếng Việt > Sách kinh tế > Sách tài chính > Tài chính cá nhân,27256,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: 1980 Books | Ngày xuất bản: 2021-01-01 00:00:00 | Kích thước: 13 x 20.5 cm | Dịch Giả: Hoàng Thị Minh Phúc | Loại bìa: Bìa mềm | Số trang: 384 | Nhà xuất bản: Nhà Xuất Bản Dân Trí
272449818,MANIFEST – 7 Bước Để Thay Đổi Cuộc Đời Bạn Mãi Mãi,60400,89000,5,135,Roxie Nafousi,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,2335,available,Công ty phát hành: Người Trẻ Việt | Kích thước: 14x20.5cm | Dịch Giả: Bạc Hà | Loại bìa: Bìa mềm | Số trang: 200 | Nhà xuất bản: Nhà Xuất Bản Thế Giới
272000024,MBA bằng hình (Trọn gói hai năm kiến thức quản trị kinh doanh qua trực quan sinh động),139000,189000,5,239,Jason Barron,Sách tiếng Việt > Sách kinh tế > Bài học kinh doanh,4572,available,Công ty phát hành: Nhã Nam | Ngày xuất bản: 2023-08-24 00:00:00 | Kích thước: 15 x 24 cm | Dịch Giả: Bùi Thu Hà | Loại bìa: Bìa mềm | Số trang: 207 | Nhà xuất bản: Nhà Xuất Bản Công Thương
271380890,Đúng Việc,87000,125000,5,935,Giản Tư Trung,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,16182,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: Viện Quản lý PACE | Ngày xuất bản: 2023-08-17 00:00:00 | Kích thước: <p>12x20 cm</p> | Loại bìa: Bìa cứng | Số trang: 328 | Nhà xuất bản: Nhà Xuất Bản Tri Thức
263070154,Giải mã Hoóc-môn Dopamine,140000,198000,4.8,230,Anna Lembke,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,3491,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: Saigon Books | Ngày xuất bản: 2023-05-23 00:00:00 | Kích thước: 14 x 20.5 cm | Dịch Giả: Lâm Đặng Cam Thảo | Số trang: 348 | Nhà xuất bản: Nhà Xuất Bản Thế Giới
262590428,Búp Sen Xanh,52700,72000,5,172,Sơn Tùng,Sách tiếng Việt > Sách thiếu nhi  > Đạo đức - Kỹ năng sống,2473,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: NXB Kim Đồng | Ngày xuất bản: 2023-05-11 00:00:00 | Kích thước: 13x19 | Loại bìa: Bìa cứng | Số trang: 444 | Nhà xuất bản: Nhà Xuất Bản Kim Đồng
261982682,Cuộc cách mạng Glucose,120000,158000,5,77,Jessie Inchauspé,Sách tiếng Việt > Sách Y Học > Sách Y Học Khác,1462,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: Huy Hoàng Bookstore | Ngày xuất bản: 2023-06-02 00:00:00 | Kích thước: 13.5 x 20.5 cm | Dịch Giả: Ngạnh | Loại bìa: Bìa mềm | Số trang: 372 | Nhà xuất bản: Nhà Xuất Bản Thanh Niên
229714486,Giải Trí Đến Chết,124600,179000,4.8,81,Neil Postman,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,1088,available,"Phiên bản sách: Phiên bản thường | Công ty phát hành: 1980 Books | Ngày xuất bản: 2023-01-01 00:00:00 | Kích thước: 13x20,5cm | Dịch Giả: Nhung Nguyễn | Loại bìa: Bìa mềm | Số trang: 336 | Nhà xuất bản: Nhà Xuất Bản Lao Động"
212597849,Bookmark kẹp sách giấy cứng,6480,9000,3,2,,Quà lưu niệm > Bookmark > Bookmark giấy,3057,available,Xuất xứ (Made in): Việt Nam | Xuất xứ thương hiệu: Việt Nam
209389165,Bookmark kẹp sách giấy cứng,2000,2000,3,2,,Sách tiếng Việt > 1980Books,9319,available,Công ty phát hành: 1980 Books | Nhà xuất bản: Nhà Xuất Bản Thanh Niên
207256575,Định luật Murphy – Mọi bí mật tâm lý thao túng cuộc đời bạn,83600,119000,4.8,589,Từ Thính Phong,Sách tiếng Việt > Sách Kiến Thức Tổng Hợp > Lĩnh vực khác,7850,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: Skybooks | Ngày xuất bản: 2022-12-01 00:00:00 | Kích thước: 14 x 20.5 cm | Dịch Giả: Hà Dung | Loại bìa: Bìa mềm | Số trang: 280 | Nhà xuất bản: Nhà Xuất Bản Thế Giới
202879294,Người Đàn Ông Mang Tên Ove (Tái Bản 2022),119000,160000,5,363,Fredrik Backman,Sách tiếng Việt > Sách văn học > Truyện ngắn - Tản văn - Tạp Văn > Truyện ngắn - Tản văn - Tạp Văn Nước Ngoài,4601,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: NXB Trẻ | Ngày xuất bản: 2022-11-11 00:00:00 | Kích thước: 13x20.5cm | Dịch Giả: Hoàng Anh | Loại bìa: Bìa mềm | Số trang: 452 | Nhà xuất bản: NXB Trẻ
199582064,Sổ tay ghi chép / sổ lò xo ghi chép A5 - B5 - A4 160 trang – giấy kẻ ngang – giấy ô vuông ,50000,99000,5,157,,Văn phòng phẩm > Sổ Tay Các Loại > Sổ tay gáy lò xo,2302,available,Thương hiệu: HARIN | Xuất xứ (Made in): Việt Nam / Trung Quốc | Xuất xứ thương hiệu: Việt Nam | Sản phẩm có được bảo hành không?: Không
195291930,Bốn Thỏa Ước,89100,130000,5,222,Don Miguel Ruiz,Sách tiếng Việt > Sách kỹ năng sống > Sách kỹ năng mềm > Nghệ thuật sống,3623,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: Saigon Books | Ngày xuất bản: 2022-01-01 00:00:00 | Kích thước: 13 x 19 cm | Dịch Giả: Nguyễn Phi Vân | Loại bìa: Bìa mềm | Số trang: 190 | Nhà xuất bản: Nhà Xuất Bản Dân Trí
194960730,Nỗi buồn chiến tranh,96500,130000,5,284,Bảo Ninh,Sách tiếng Việt > Sách văn học > Tác phẩm kinh điển > Tác Phẩm Kinh Điển Việt Nam,2960,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: NXB Trẻ | Ngày xuất bản: 2022-08-22 00:00:00 | Kích thước: 13x20cm | Loại bìa: Bìa mềm | Số trang: 348 | Nhà xuất bản: NXB Trẻ
193614514,[Gift] Tặng 01 bookmark cho mỗi đơn hàng,30000,30000,0,0,,Quà lưu niệm > Bookmark > Bookmark giấy,1695,available,Thương hiệu: MCBooks | Xuất xứ (Made in): Việt Nam | Xuất xứ thương hiệu: Việt Nam | Sản phẩm có được bảo hành không?: Không
170708233,Thay Đổi Tí Hon - Hiệu Quả Bất Ngờ Atomic Habits (Tái Bản Lần 4),139000,189000,4.8,813,James Clear,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,10594,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: Phương Nam Book | Ngày xuất bản: 2022-03-03 00:00:00 | Kích thước: 14 x 20.5 cm | Dịch Giả: Vũ Phi Yên - Trần Quỳnh Như | Loại bìa: Bìa mềm | Số trang: 385 | Nhà xuất bản: Nhà Xuất Bản Thế Giới
140416370,Flow - Dòng Chảy,163000,228000,5,736,Mihaly Csikszentmihalyi,Sách tiếng Việt > Sách kỹ năng sống > Sách kỹ năng mềm > Nghệ thuật sống,8229,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: First News - Trí Việt | Ngày xuất bản: 2021-11-01 00:00:00 | Kích thước: 14.5 x 20.5 cm | Dịch Giả: Huỳnh Hiếu Thuận | Loại bìa: Bìa gập | Số trang: 556 | Nhà xuất bản: Nhà Xuất Bản Dân Trí
101782486,"Deep Work - Làm Ra Làm, Chơi Ra Chơi (Tái Bản)",106000,159000,4.7,271,Cal Newport,Sách tiếng Việt > Sách kỹ năng sống > Sách tư duy - Kỹ năng sống,2827,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: Alphabooks | Ngày xuất bản: 2021-05-01 00:00:00 | Kích thước: 13 x 20.5 cm | Dịch Giả: Mai Anh | Loại bìa: Bìa mềm | Số trang: 352 | Nhà xuất bản: Nhà Xuất Bản Công Thương
76013370,Được Học (Tái Bản),128000,182000,5,290,Tara Westover,Sách tiếng Việt > Sách Kiến Thức Tổng Hợp > Sách giáo dục,2290,available,Phiên bản sách: Phiên bản thường | Công ty phát hành: NXB Phụ Nữ Việt Nam | Ngày xuất bản: 2021-01-12 00:00:00 | Kích thước: 15.5 x 23.5 cm | Dịch Giả: Nguyễn Bích Lan | Loại bìa: Bìa mềm | Số trang: 446 | Nhà xuất bản: Nhà Xuất Bản Phụ Nữ Việt Nam
