id,name,price,original_price,rating_average,review_count,author,quantity_sold,inventory_status,Công ty phát hành,Loại bìa,Số trang,Ngày xuất bản,main_category,sub_category_1,sub_category_2,sub_category_3,sub_category_4,page_range,quantity_range,rating_range
277728224,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ",122800,127000,4.8,417,Trương Tiếu Hằng,8666,available,1980 Books,Bìa mềm,450,12/12/22,Sách tiếng Việt,Sách kỹ năng sống,Sách kỹ năng mềm,Kỹ Năng Giao Tiếp,,1-500,5000-10000,4 sao
277412034,Sách Song Ngữ Lời Thì Thầm Trong Tổ Ấm - Whispers In The Home - Chính Hãng + Mã File Nghe,180000,180000,5,22,Không rõ,699,available,NXB Lao Động,Bìa cứng,280,02/19/25,Sách tiếng Việt,Sách Học Ngoại Ngữ,Sách Học Tiếng Anh,Sách học tiếng anh - khác,,1-500,0-2500,5 sao
277409853,Bí Ẩn Thảm Án Ở Styles (Agatha Christie) (NXB Trẻ),97600,122000,5,4,  Agatha Christie,86,available,NXB Trẻ,Bìa mềm,296,,Sách tiếng Việt,Sách văn học,Truyện trinh thám,,,1-500,0-2500,5 sao
277381902,Tiếng gọi chân trời - Nguyễn Ngọc Tư,68000,95000,5,10,Nguyễn Ngọc Tư,348,available,NXB Trẻ,Bìa mềm,152,03/04/25,Sách tiếng Việt,Sách văn học,Truyện ngắn - Tản văn - Tạp Văn,Truyện ngắn - Tản văn - Tạp Văn Việt Nam,,1-500,0-2500,5 sao
276960030,Khi Mọi Điều Không Như Ý,80600,109000,5,25,Hae Min,729,available,Nhã Nam,Bìa mềm,240,03/01/25,Sách tiếng Việt,Sách kỹ năng sống,Sách tâm lý học,Sách tâm lý học - khác,,1-500,0-2500,5 sao
276948798,"Lên Đỉnh Núi Mở Tiệm Bánh Mì - Triết lí Wazawaza: Những con người hạnh phúc, 2 loại bánh mì, và doanh thu thường niên 300 triệu Yên",99000,120000,4.8,32,Hirata Haruka,1187,available,Ecoblader,Bìa mềm,168,03/12/24,Sách tiếng Việt,Sách kinh tế,Bài học kinh doanh,,,1-500,0-2500,4 sao
276922095,Thế Hệ Lo Âu,139690,229000,5,17,Jonathan Haidt,499,available,1980 Books,Bìa mềm,439,12/31/24,Sách tiếng Việt,Sách kỹ năng sống,Sách tâm lý học,Sách tâm lý học - khác,,1-500,0-2500,5 sao
276823777,Tại sao các quốc gia thất bại,258000,310000,4.8,22,Daron Acemoglu - James A. Robinson,370,available,NXB Trẻ,Bìa mềm,616,11/25/24,Sách tiếng Việt,Sách kinh tế,Sách kinh tế học,Sách kinh tế học - khác,,500-1000,0-2500,4 sao
276346703,Combo 4 cuốn: ChatGPT + ChatGPT thực chiến + AI 5.0 + AI Công cụ nâng cao hiệu suất,608000,716000,0,0,Không rõ,1,available,1980 Books,Không có,Không rõ,,Sách tiếng Việt,Sách kinh tế,Sách Marketing - Bán hàng,,,Không rõ,0-2500,0 sao
276159943,NEXUS - Lược Sử Của Những Mạng Lưới Thông Tin Từ Thời Đại Đồ Đá Đến Trí Tuệ Nhân Tạo,227500,325000,5,145,Yuval Noah Harari,2237,available,Alphabooks,Không có,Không rõ,,Sách tiếng Việt,Sách Lịch sử,Lịch Sử Thế Giới,,,Không rõ,0-2500,5 sao
275702538,Chat GPT Thực Chiến,104800,169000,4.7,125,Dịch Dương,2643,available,1980 Books,Bìa mềm,263,07/01/24,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,,,1-500,2500-5000,4 sao
275406600,Dẫn Dắt Một Bầy Sói Hay Chăn Một Đàn Cừu,126700,195000,4.8,61,Tiffani Bova,2111,available,1980 Books,Bìa mềm,358,06/01/24,Sách tiếng Việt,Sách kinh tế,"Sách quản trị, lãnh đạo",,,1-500,0-2500,4 sao
275243138,Rèn Luyện Tư Duy Phản Biện,86200,139000,4.8,4825,Albert Rutherford,30550,available,1980 Books,Bìa mềm,204,12/01/19,Sách tiếng Việt,Sách kỹ năng sống,Sách tư duy - Kỹ năng sống,,,1-500,20000+,4 sao
274363543,Con Đường Chẳng Mấy Ai Đi,123000,165000,5,176,M. Scott Peck,3185,available,Công ty Cổ phần Văn hóa và Công nghệ Tuệ Tri,Bìa mềm,344,01/01/24,Sách tiếng Việt,Sách kỹ năng sống,Sách tư duy - Kỹ năng sống,,,1-500,2500-5000,5 sao
