id,name,price,original_price,rating_average,review_count,author,quantity_sold,inventory_status,category_id,category_name,Công ty phát hành,Loại bìa,Số trang,Ngày xuất bản,Năm xuất bản,Năm xuất bản điền bổ sung, 
277728224,"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ",117180,127000,4.8,419,Trương Tiếu Hằng,8646,available,316,Sách tiếng Việt,1980 Books,Bìa mềm,450,12/12/22 0:00,,2022,
277412034,Sách Song Ngữ Lời Thì Thầm Trong Tổ Ấm - Whispers In The Home - Chính Hãng + Mã File Nghe,158000,158000,5,21,Không rõ,681,available,67857,Sách học tiếng anh - khác,NXB Lao Động,Bìa cứng,280,02/19/25 0:41,,2025,
277409853,Bí Ẩn Thảm Án Ở Styles (Agatha Christie) (NXB Trẻ),106000,122000,5,2,  Agatha Christie,75,available,664,Truyện trinh thám,NXB Trẻ,Bìa mềm,296,,2025,2025,
277381902,Tiếng gọi chân trời - Nguyễn Ngọc Tư,68100,95000,5,8,Nguyễn Ngọc Tư,336,available,68000,Truyện ngắn - Tản văn - Tạp Văn Việt Nam,NXB Trẻ,Bìa mềm,152,03/04/25 0:00,,2025,
276960030,Khi Mọi Điều Không Như Ý,68670,109000,5,25,Hae Min,696,available,67946,Sách tâm lý học - khác,Nhã Nam,Bìa mềm,240,03/01/25 0:00,,2025,
276948798,"Lên Đỉnh Núi Mở Tiệm Bánh Mì - Triết lí Wazawaza: Những con người hạnh phúc, 2 loại bánh mì, và doanh thu thường niên 300 triệu Yên",99100,120000,4.7,30,Hirata Haruka,1170,available,847,Bài học kinh doanh,Ecoblader,Bìa mềm,168,03/12/24 0:00,,2024,
276922095,Thế Hệ Lo Âu,156000,229000,5,17,Jonathan Haidt,490,available,67946,Sách tâm lý học - khác,1980 Books,Bìa mềm,439,12/31/24 0:00,,2024,
276823777,Tại sao các quốc gia thất bại,258000,310000,4.8,22,Daron Acemoglu - James A. Robinson,362,available,67901,Sách kinh tế học - khác,NXB Trẻ,Bìa mềm,616,11/25/24 0:00,,2024,
276346703,Combo 4 cuốn: ChatGPT + ChatGPT thực chiến + AI 5.0 + AI Công cụ nâng cao hiệu suất,608000,716000,0,0,Không rõ,1,available,848,Sách Marketing - Bán hàng ,1980 Books,,0,,,,
276159943,NEXUS - Lược Sử Của Những Mạng Lưới Thông Tin Từ Thời Đại Đồ Đá Đến Trí Tuệ Nhân Tạo,227500,325000,5,142,Yuval Noah Harari,2230,available,9725,Lịch Sử Thế Giới,Alphabooks,,0,09/30/24 0:00,,2024,
275702538,Chat GPT Thực Chiến,104800,169000,4.7,121,Dịch Dương,2617,available,385,Sách kỹ năng làm việc,1980 Books,Bìa mềm,263,07/01/24 0:00,,2024,
275406600,Dẫn Dắt Một Bầy Sói Hay Chăn Một Đàn Cừu,126700,195000,4.8,60,Tiffani Bova,2092,available,2,Root,1980 Books,Bìa mềm,358,06/01/24 0:00,,2024,
275243138,Rèn Luyện Tư Duy Phản Biện,86200,139000,4.8,4824,Albert Rutherford,30544,available,316,Sách tiếng Việt,1980 Books,Bìa mềm,204,12/01/19 0:00,,2019,
